,calories,carbs,cook_time,course,cuisine,description,labels,name,photos,prep_time,protein,rating,saturated_fat,servings,sugar,total_fat,total_time,url
0,,,20,main,southindian,," No Onion No Garlic, Vegan Recipes, Tamil Nadu,Indian Curries,Bachelor Recipes, Low Fat Recipes, South Indian Recipes","kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",True,30,,['4.84'],,3-4,,,50,http://www.vegrecipesofindia.com/brinjal-sambar-kathirikai-sambar/
0,304,52,,"desserts,sweets","southindian,tamilnadu",", how to make sabudana payasam | javvarisi payasam recipe"," Kids Recipes,30 Minutes Recipes,Gluten Free, Festival Recipes,Desserts, Tamil Nadu, South Indian Recipes",sabudana payasam ,False,,4,['5'],4,4,34,9,,http://www.vegrecipesofindia.com/sabudana-payasam-recipe/
0,,,15,main,northindian,", how to make aloo rasedar curry recipe"," Kids Recipes, Indian Street Food, No Onion No Garlic, Indian Curries, North Indian Recipes, Vegan Recipes,Bachelor Recipes,Indian Breakfast Recipes",aloo rasedar ,True,15,,['4.67'],,3to4,,,30,http://www.vegrecipesofindia.com/aloo-rasedar-recipe/
0,,,20,indian,,," Vegan Recipes,Indian Vegetable Recipes",Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,False,10,,['4.34'],,,,,30,http://www.vegrecipesofindia.com/dill-leaves-indian-recipe-dill-leaves/
0,,,,spiceblend,"karnataka,southindian",", how to make bisi bele bath masala powder"," Karnataka Recipes,Cooking Tips & Methods, South Indian Recipes",bisi bele bath masala ,True,30,,['4.67'],,,,,30,http://www.vegrecipesofindia.com/bisi-bele-bath-masala-powder/
0,61,2,20,snacks,world,", how to make cheese balls recipe | cheese recipes"," Kids Recipes, Starters & Snacks Recipes,Bachelor Recipes,International Cuisines,Gluten Free",cheese balls ,True,25,2,['4.89'],1,9to10,,4,45,http://www.vegrecipesofindia.com/cheese-balls-recipe/
0,,,,Dessert,world,", how to make eggless strawberry ice cream"," Kids Recipes, Summer Recipes, Navratri & Fasting Recipes,15 Minutes Recipes,Gluten Free,Desserts",strawberry ice cream ,True,15,,['4.5'],,3-4,,,15,http://www.vegrecipesofindia.com/eggless-strawberry-ice-cream-recipe/
0,99,13,25,side,world,", how to make carrot ginger soup recipe | soup recipes","Vegan Recipes,30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes,International Cuisines,Gluten Free,Bachelor Recipes",carrot ginger soup ,True,5,1,['4.67'],,3,6,4,30,http://www.vegrecipesofindia.com/carrot-ginger-soup-recipe/
0,,,30,Breakfast,Indian,", how to make plain paratha | paratha recipes"," Kids Recipes, Main Course, Tiffin Recipes, North Indian Recipes, Punjabi Recipes,Bachelor Recipes, Indian Breakfast Recipes,Indian Breads & Parathas",paratha ,True,35,,['4.56'],,2to3,,,65,http://www.vegrecipesofindia.com/paratha-recipe-plain-paratha-recipe/
0,,,,Beverages,Indian,", how to make mint juice recipe"," Summer Recipes,30 Minutes Recipes,Beverages, Vegan Recipes, Navratri & Fasting Recipes",mint juice or pudina sherbet ,False,10,,['5'],,3glasses,,,10,http://www.vegrecipesofindia.com/mint-juice-recipe-mint-juice/
0,,,20,"main,Snack",international, | veg spinach mushroom lasagna," Kids Recipes,Baked Snacks,Bachelor Recipes, International Cuisines",spinach mushroom lasagna ,False,30,,['4.84'],,2to3,,,50,http://www.vegrecipesofindia.com/spinach-mushroom-lasagna-recipe/
0,,,20,snacks,gujarati,", how to make rava dhokla | instant rava dhokla"," Kids Recipes, Gujarati Recipes,Festival Recipes, No Onion No Garlic,30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes, Popular Indian Recipes,Bachelor Recipes, Low Fat Recipes",rava dhokla ,True,15,,['4.89'],,4,,,35,http://www.vegrecipesofindia.com/rava-dhokla-instant-rava-dhokla/
0,,,20,snacks,"middleeastern,world",", how to make falafel recipe with cooked chickpeas"," Kids Recipes, Starters & Snacks Recipes, Vegan Recipes,International Cuisines",falafel ,True,10,,['4.67'],,6-7,,,30,http://www.vegrecipesofindia.com/falafel-recipe-traditional-falafel-recipe/
0,,,,snacks,world,", how to make veg mayo sandwich recipe"," Kids Recipes,Bachelor Recipes,International Cuisines, Tiffin Recipes,15 Minutes Recipes",veg mayonnaise sandwich ,True,15,,['4.8'],,3,,,,http://www.vegrecipesofindia.com/veg-mayonnaise-sandwich-recipe/
0,,,20,snacks,Indian,", how to make grilled potato sandwich on tawa"," Kids Recipes,30 Minutes Recipes, Starters & Snacks Recipes,Bachelor Recipes,Indian Breakfast Recipes,Starters & Snacks Recipes",potato sandwich ,True,20,,['4.34'],,2to3,,,40,http://www.vegrecipesofindia.com/potato-sandwich-recipe/
0,,,2,Breakfast,southindian,", how to make instant dosa mix for instant dosa"," Kids Recipes, Starters & Snacks Recipes,Indian Breakfast Recipes, No Onion No Garlic, South Indian Recipes",instant dosa mix ,True,8,,['5'],,4,,,10,http://www.vegrecipesofindia.com/instant-dosa-mix-recipe/
0,,,20,snacks,"southindian,tamilnadu",", how to make omapodi | plain sev | diwali snacks recipe"," Kids Recipes,Festival Recipes, No Onion No Garlic,30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes,Gluten Free, Popular Indian Recipes, Tamil Nadu, South Indian Recipes",omapodi ,False,10,,['5'],,300grams,,,30,http://www.vegrecipesofindia.com/omapodi-recipe/
0,,,20,condiments,"southindian,tamilian",", how to make homemade sambar powder recipe"," No Onion No Garlic,Cooking Tips & Methods,30 Minutes Recipes, Vegan Recipes, Tamil Nadu,Bachelor Recipes, South Indian Recipes",sambar powder ,True,10,,['4.28'],,200grams,,,30,http://www.vegrecipesofindia.com/sambar-powder-recipe-homemade-sambar-powder/
0,,,15,main,"Chinese,world",", how to make chinese garlic mushrooms recipe","Indo-Chinese Recipes,30 Minutes Recipes, International Cuisines,Bachelor Recipes, Vegan Recipes",garlic mushroom ,True,10,,['4.75'],,2to3,,,25,http://www.vegrecipesofindia.com/garlic-mushroom-recipe-chinese-garlic-mushroom/
0,,,20,main,"southindian,tamilnadu",", how to make dindigul style veg biryani","Gluten Free, Popular Indian Recipes, Tamil Nadu,Main Course,Bachelor Recipes, South Indian Recipes",dindigul style veg biryani ,True,15,,['5'],,3,,,35,http://www.vegrecipesofindia.com/dindigul-veg-biryani-recipe/
0,,,,side,southindian," for idli, dosa | coconut chutney recipes"," Vegan Recipes,Chutneys, South Indian Recipes",garlic coconut chutney ,True,15,,[''],,3-4,,,15,http://www.vegrecipesofindia.com/garlic-coconut-chutney/
0,,,25,snacks,northindian, | kuttu ke pakore | navratri vrat recipes,"Kids Recipes, Navratri & Fasting Recipes, No Onion No Garlic, Starters & Snacks Recipes, North Indian Recipes, Vegan Recipes,Gluten Free",vrat ke pakore ,False,25,,['5'],,3to4,,,50,http://www.vegrecipesofindia.com/vrat-ke-pakore-kuttu-ke-pakore/
0,,,15,main,northindian,", how to make lobia pulao in pressure cooker","Kids Recipes,30 Minutes Recipes, North Indian Recipes, Tiffin Recipes, Vegan Recipes,Gluten Free, Rice Recipes,Rice Recipes",lobia pulao ,True,15,,['5'],,2-3,,,30,http://www.vegrecipesofindia.com/lobia-pulao-recipe/
0,,,35,Dessert,world,", whole wheat mango muffins recipe"," Kids Recipes,Desserts, Eggless Cakes, International Cuisines,Eggless Cakes",eggless mango muffins ,True,15,,['5'],,8to9muffins,,,50,http://www.vegrecipesofindia.com/eggless-mango-muffins-recipe/
0,,,30,main,"northindian,Punjabi",", how to make quick bhatura recipe with bread"," Kids Recipes, Indian Breads & Parathas,Festival Recipes, No Onion No Garlic, North Indian Recipes,Bachelor Recipes, Indian Breakfast Recipes",bread bhatura ,True,40,,['5'],,10to12bhaturas,,,70,http://www.vegrecipesofindia.com/bread-bhatura-recipe-quick-bhatura/
0,144,22.9,30,snacks,gujarati,", how to make gujarati methi thepla recipe | methi recipes"," Kids Recipes, Indian Breads & Parathas,Gujarati Recipes, Starters & Snacks Recipes, Popular Indian Recipes,Bachelor Recipes, Indian Breakfast Recipes",methi thepla ,True,30,6.8,['4.69'],0.8,11theplas,0.5,4.3,60,http://www.vegrecipesofindia.com/methi-thepla-gujarati-methi-thepla/
0,,,20,snacks,northindian,", how to make methi puri | methi pooris"," Kids Recipes,Festival Recipes, No Onion No Garlic, North Indian Recipes, Starters & Snacks Recipes, Vegan Recipes,Bachelor Recipes",methi puri ,True,30,,['5'],,3to4,,,50,http://www.vegrecipesofindia.com/methi-puri-recipe-methi-poori/
0,,,15,side,"andhra,southindian",", andhra style bhindi fry | okra fry recipe"," Kids Recipes,30 Minutes Recipes, Vegan Recipes, Indian Vegetable Recipes,Andhra Recipes,Bachelor Recipes",bendakaya vepudu ,True,10,,['5'],,2to3,,,25,http://www.vegrecipesofindia.com/bendakaya-vepudu-recipe-bhindi-fry/
0,,,5,"Snack,starter","Italian,world",", how to make tomato bruschetta | tomato recipes","Vegan Recipes,15 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes,International Cuisines,Bachelor Recipes",bruschetta ,True,5,,[''],,1,,,10,http://www.vegrecipesofindia.com/bruschetta-recipe-tomato-bruschetta-recipe/
0,,,30,"Breakfast,brunch,main",Indian,", how to make garlic naan on stove top, pan or tawa"," Indian Breads & Parathas, Main Course, North Indian Recipes, Vegan Recipes,Bread Recipes, Popular Indian Recipes",garlic naan ,True,180,,['4.96'],,4to5,,,210,http://www.vegrecipesofindia.com/garlic-naan-recipe/
0,,,10,side,"southindian,tamilnadu",", how to make carrot chutney | gajar ki chutney recipe"," Kids Recipes, No Onion No Garlic,30 Minutes Recipes, Vegan Recipes, Pickles-Sauces-Dips, Tamil Nadu,Chutneys,Bachelor Recipes, South Indian Recipes",carrot chutney ,True,5,,['5'],,4,,,15,http://www.vegrecipesofindia.com/carrot-chutney-recipe/
0,,,25,snacks,gujarati,", how to make moong dal dhokla | dhokla recipes"," Kids Recipes,Gujarati Recipes, No Onion No Garlic, Starters & Snacks Recipes, Vegan Recipes, Indian Breakfast Recipes",moong dal dhokla ,True,360,,['2'],,4,,,385,http://www.vegrecipesofindia.com/moong-dal-dhokla-recipe/
0,,,25,main,"awadhi,mughlai,northindian", | how to make mughlai vegetable biryani recipe," Kids Recipes,Awadhi Cuisine, North Indian Recipes,Gluten Free, Popular Indian Recipes, Rice Recipes, Mughlai Recipes",mughlai veg biryani ,True,45,,['5'],,4-5,,,70,http://www.vegrecipesofindia.com/mughlai-vegetable-biryani-recipe-veg-biryani/
0,,,10,Breakfast,southindian,", how to make rice sevai upma recipe"," Kids Recipes,30 Minutes Recipes, Tiffin Recipes, Vegan Recipes,Gluten Free, Rice Recipes,Bachelor Recipes,Indian Breakfast Recipes, South Indian Recipes",rice sevai upma ,True,15,,['4.5'],,3to4,,,25,http://www.vegrecipesofindia.com/rice-sevai-upma-recipe/
0,,,,"pickles,side","northindian,Punjabi",", how to make punjabi mango pickle recipe"," Punjabi Recipes, Popular Indian Recipes, Pickles-Sauces-Dips,North Indian Recipes",mango pickle ,True,5760,,['4.85'],,1mediumjar,,,5760,http://www.vegrecipesofindia.com/punjabi-mango-pickle/
0,,,15,main,Indian," or mint pulao recipe, how to make mint rice recipe","Bachelor Recipes,Rice Recipes, Vegan Recipes,Gluten Free",mint rice ,True,30,,['4.75'],,3-4,,,45,http://www.vegrecipesofindia.com/mint-rice-recipe/
0,,,30,desserts,"karnataka,udipi", | kashi halwa recipe | dumroot halwa recipe," Karnataka Recipes, Kids Recipes, Navratri & Fasting Recipes,30 Minutes Recipes,Gluten Free, Festival Recipes,Desserts, Popular Indian Recipes,Bachelor Recipes, South Indian Recipes",ash gourd halwa ,True,10,,[''],,2to3,,,40,http://www.vegrecipesofindia.com/ash-gourd-halwa-recipe-kashi-halwa/
0,,,,side,Indian,", how to make boondi raita | spiced boondi raita"," Summer Recipes,30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes, Pickles-Sauces-Dips,North Indian Recipes, Popular Indian Recipes,Bachelor Recipes,Pickles-Sauces-Dips",boondi raita ,True,20,,['5'],,2to3,,,20,http://www.vegrecipesofindia.com/boondi-raita/
0,,,,"Appetizer,condiment","Mexican,world",", how to make mango salsa | mango recipes","15 Minutes Recipes, Vegan Recipes,International Cuisines,Gluten Free,Bachelor Recipes, Low Fat Recipes",mango salsa ,True,15,,[''],,1to2,,,15,http://www.vegrecipesofindia.com/mango-salsa-recipe-mango-recipes/
0,,,20,main,northindian, in pressure cooker | mushroom biryani recipes," North Indian Recipes,Gluten Free, Rice Recipes,Main Course,Bachelor Recipes,Rice Recipes",mushroom biryani ,True,30,,['4.5'],,2,,,50,http://www.vegrecipesofindia.com/mushroom-biryani-recipe-in-pressure-cooker/
0,481,80,15,main,southindian, or plain biryani recipe | how to make kuska rice recipe," Kids Recipes,Hyderabadi Cuisine,Gluten Free, Popular Indian Recipes, Rice Recipes, South Indian Recipes,Bachelor Recipes,South Indian Recipes",kuska biryani ,False,30,7,['5'],8,2to3,2,13,45,http://www.vegrecipesofindia.com/kuska-biryani-recipe-kuska-rice/
0,,,30,"side,snacks",Indian,", maharashtrian style sabudana khichdi recipe"," Navratri & Fasting Recipes, Tiffin Recipes, Starters & Snacks Recipes, Maharashtrian Recipes,Gluten Free, Vegan Recipes, Popular Indian Recipes,Bachelor Recipes,Indian Breakfast Recipes",sabudana khichdi ,True,120,,['5'],,2to3,,,150,http://www.vegrecipesofindia.com/sabudana-khichdi-recipe-maharashtrian-style/
0,273,31,20,"Breakfast,snacks",northindian,", how to make besan oats cheela recipe"," Kids Recipes,30 Minutes Recipes, North Indian Recipes, Tiffin Recipes, Vegan Recipes,Bachelor Recipes,Indian Breakfast Recipes",oats chilla ,True,10,8,['4.63'],1,2to3,4,13,30,http://www.vegrecipesofindia.com/oats-chilla-recipe-oats-cheela/
0,218,35,35,"desserts,sweets",world, | eggless honey cake recipe | indian bakery style honey cake," Kids Recipes, Eggless Cakes,Eggless Cakes, Toddler Recipes,Desserts,Bachelor Recipes, International Cuisines",honey cake ,False,15,2,['4'],2,9pieces,21,8,50,http://www.vegrecipesofindia.com/eggless-honey-cake-recipe/
0,,,30,side,hyderabadi, | aloo recipes," Kids Recipes,30 Minutes Recipes, Starters & Snacks Recipes, Hyderabadi Cuisine, Vegan Recipes, Indian Vegetable Recipes,Andhra Recipes,Bachelor Recipes","aloo 65 or potato 65, how to make aloo 65 ",True,20,,['5'],,3-4,,,50,http://www.vegrecipesofindia.com/aloo-65-potato-65/
0,556,14,20,"indianstreetfood,snacks",kerala,", kerala style onion pakoda recipe | onion vada recipe"," Kids Recipes, Kerala Recipes,30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes, Popular Indian Recipes,Bachelor Recipes,Indian Street Food, South Indian Recipes",ulli vada ,False,20,3,['5'],5,3,1,54,40,http://www.vegrecipesofindia.com/ulli-vada-recipe/
0,,,20,snacks,rajasthani,", how to make rajasthani mirchi vada recipe"," No Onion No Garlic, Starters & Snacks Recipes, Vegan Recipes, Popular Indian Recipes,Bachelor Recipes,Indian Street Food",mirchi vada ,True,30,,['4.64'],,3to4,,,50,http://www.vegrecipesofindia.com/mirchi-vada-recipe-rajasthani-mirchi-vada/
0,,,25,main,"Indian,Punjabi",", how to make punjabi maa ki dal recipe"," Main Course, North Indian Recipes, Vegan Recipes, Punjabi Recipes,Dal Recipes,Bachelor Recipes",mah ki dal or kaali dal ,True,35,,['4.82'],,4,,,60,http://www.vegrecipesofindia.com/maa-ki-dal-kaali-dal/
0,,,20,"Breakfast,Snack",Indian," without potato, how to make sabudana vada recipe"," Kids Recipes, Navratri & Fasting Recipes, No Onion No Garlic, Starters & Snacks Recipes, Vegan Recipes,Gluten Free,Bachelor Recipes,Navratri & Fasting Recipes,Indian Breakfast Recipes",sabudana vada ,False,300,,['5'],,2to3,,,320,http://www.vegrecipesofindia.com/sabudana-vada-recipe-without-potatoes/
0,,,5,side,Indian,", how to make mango raita recipe | mango recipes"," Kids Recipes, Summer Recipes, Navratri & Fasting Recipes,15 Minutes Recipes, No Onion No Garlic, Pickles-Sauces-Dips,Desserts",mango raita ,True,15,,[''],,3,,,20,http://www.vegrecipesofindia.com/mango-raita-recipe-mango-raita/
0,,,20,snacks,northindian,", how to make veg paneer cutlet recipe","Kids Recipes, Paneer Recipes, North Indian Recipes, Starters & Snacks Recipes,Paneer Recipes,Bachelor Recipes",paneer cutlet ,True,20,,['5'],,3,,,40,http://www.vegrecipesofindia.com/paneer-cutlet-recipe/
0,275,8,20,main,northindian, | restaurant style handi paneer recipe | paneer recipes," Kids Recipes, Paneer Recipes,30 Minutes Recipes, North Indian Recipes,Gluten Free, Popular Indian Recipes,Paneer Recipes,Indian Curries,Bachelor Recipes",paneer handi ,True,10,9,['4.67'],12,4,2,23,30,http://www.vegrecipesofindia.com/paneer-handi-recipe/
0,,,20,main,northindian,", how to make khasta roti recipe"," Kids Recipes, Main Course, North Indian Recipes,Indian Breads & Parathas",khasta roti ,True,25,,['5'],,3to4,,,45,http://www.vegrecipesofindia.com/khasta-roti-recipe/
0,,,30,,,", easy red amaranth sambar | sambar recipes","Indian Curries, Main Course,30 Minutes Recipes, Tamil Nadu, South Indian Recipes",red amaranth sambar ,False,20,,[''],,,,,50,http://www.vegrecipesofindia.com/red-amaranth-sambar/
0,108,5,15,main,northindian,", how to make palak pulao | spinach pulao recipe","Kids Recipes, Main Course,30 Minutes Recipes, North Indian Recipes, Tiffin Recipes, Vegan Recipes,Gluten Free, Rice Recipes,Bachelor Recipes",palak pulao ,True,15,1,['4.25'],,3to4,1,9,30,http://www.vegrecipesofindia.com/palak-pulao-recipe-spinach-pulao/
0,155,6,3,"side,snacks","Indian,Maharashtrian",", how to make khamang kakdi | kakdi chi koshimbir"," Summer Recipes,15 Minutes Recipes,Festival Recipes, No Onion No Garlic, Tiffin Recipes, Maharashtrian Recipes, Vegan Recipes,Bachelor Recipes",khamang kakdi ,False,12,4,['5'],3,3,2,13,15,http://www.vegrecipesofindia.com/khamang-kakdi-recipe/
0,,,20,starter,IndoChinese,", how to make chilli mushroom dry recipe","Bachelor Recipes, Starters & Snacks Recipes, Indo-Chinese Recipes, Vegan Recipes,Indian Vegetable Recipes",chilli mushroom dry ,True,20,,['4.6'],,2to3,,,40,http://www.vegrecipesofindia.com/chilli-mushroom-dry-recipe/
0,,,30,snacks,northindian,", how to make chana dal pakora | pakora recipes"," Tiffin Recipes, North Indian Recipes,Kids Recipes, Vegan Recipes, Starters & Snacks Recipes",chana dal pakora ,True,240,,['5'],,2to3,,,270,http://www.vegrecipesofindia.com/chana-dal-pakora-recipe/
0,,,20,"side,starter",world,", veg cream of mushroom soup recipe"," Kids Recipes,30 Minutes Recipes, Starters & Snacks Recipes,Bachelor Recipes,International Cuisines",cream of mushroom soup ,True,10,,['4.75'],,2to3,,,30,http://www.vegrecipesofindia.com/veg-cream-mushroom-soup-recipe/
0,370,51,35,"main,snacks","northindian,Punjabi", | how to make punjabi chole masala recipe," Main Course, Indian Curries, North Indian Recipes, Vegan Recipes,Gluten Free, Punjabi Recipes,Dal Recipes,Bachelor Recipes",punjabi chana masala ,True,580,13,['4.75'],1,4,15,14,615,http://www.vegrecipesofindia.com/punjabi-chana-recipe-punjabi-chana/
0,,,20,starter,"international,Thai",", how to make thai veg tom yum soup recipe","30 Minutes Recipes, Vegan Recipes,Bachelor Recipes,International Cuisines",tom yum soup ,True,10,,[''],,2to3,,,30,http://www.vegrecipesofindia.com/tom-yum-soup-recipe/
0,,,30,Dessert,"Indian,mughlai",", how to make shahi tukra recipe | shahi tukda recipe"," Kids Recipes, North Indian Recipes, Festival Recipes,Desserts, Popular Indian Recipes, Mughlai Recipes",shahi tukra ,True,60,,['4.47'],,3to4,,,90,http://www.vegrecipesofindia.com/shahi-tukra-recipe-shahi-tukda/
0,,,30,"desserts,sweets","Bengali,Indian",", how to make shakarkandi gulab jamun recipe"," Kids Recipes,Vegan Recipes, Vegan Recipes, Festival Recipes,Bachelor Recipes,Bengali Recipes, Desserts",sweet potato gulab jamun ,False,20,,['4.5'],,9mediumsizedgulabjamuns,,,50,http://www.vegrecipesofindia.com/sweet-potato-gulab-jamun-recipe/
0,,,25,side,southindian," , how to make tomato thokku recipe","No Onion No Garlic, Vegan Recipes, Pickles-Sauces-Dips, South Indian Recipes",tomato thokku ,True,15,,['4'],,3,,,40,http://www.vegrecipesofindia.com/tomato-thokku-recipe-tomato-thokku/
0,,,30,snacks,awadhi,", how to make veg shammi kabab recipe"," Kids Recipes,Awadhi Cuisine, Starters & Snacks Recipes, Vegan Recipes,Gluten Free,Bachelor Recipes",veg shammi kabab ,True,420,,['3.34'],,10vegshammikababs,,,450,http://www.vegrecipesofindia.com/vegetarian-shammi-kabab/
0,495,47,25,"desserts,sweets","northindian,Punjabi", | gurudwara karah prasad recipe | atta halwa recipe," Kids Recipes,Popular Indian Recipes,30 Minutes Recipes, North Indian Recipes, Festival Recipes, Punjabi Recipes,Desserts, Popular Indian Recipes",kada prashad ,False,5,2,['3.6'],21,6,33,34,30,http://www.vegrecipesofindia.com/kada-prashad-recipe/
0,,,20,snacks,Indian,", how to make sabudana tikki | navratri vrat","Kids Recipes, Navratri & Fasting Recipes, No Onion No Garlic, Starters & Snacks Recipes, Vegan Recipes,Gluten Free,Bachelor Recipes",sabudana tikki ,True,300,,['5'],,2to3,,,320,http://www.vegrecipesofindia.com/sabudana-tikki-recipe-sabudana-recipes/
0,,,15,side,Indian, or arbi masala - arbi recipe for fasting or vrat or upwas," Navratri & Fasting Recipes, No Onion No Garlic, Main Course, North Indian Recipes, Vegan Recipes, Punjabi Recipes,Indian Curries,Bachelor Recipes",arbi curry ,False,20,,['5'],,3to4,,,35,http://www.vegrecipesofindia.com/arbi-curry-north-indian-recipe/
0,,,,Beverages,worldcuisine,", how to make chocolate milkshake recipe with cocoa powder"," Kids Recipes, Summer Recipes,15 Minutes Recipes,International Cuisines,Gluten Free,Bachelor Recipes,Summer Recipes",chocolate milkshake ,True,10,,['5'],,2,,,10,http://www.vegrecipesofindia.com/chocolate-milkshake-recipe/
0,,,,side,southindian,", how to make mint coconut chutney","30 Minutes Recipes, Starters & Snacks Recipes, Vegan Recipes,Chutneys,Bachelor Recipes, South Indian Recipes",mint coconut chutney ,True,20,,[''],,2-3,,,20,http://www.vegrecipesofindia.com/mint-coconut-chutney/
