,amount,name,notes,recipe,units
5,['1'],tamarind concentrate,,sweet potato chutney ,teaspoon
6,['4'],of freshly grated coconut,(nariyal),sweet potato chutney ,tablespoons
7,['2'],oil,,sweet potato chutney ,teaspoons
8,['½'],mustard seeds,(rai),sweet potato chutney ,teaspoon
9,['1'],good pinch of asafoetida,(hing),sweet potato chutney ,
10,,salt as required,,sweet potato chutney ,
0,['½'],fine rava,OR 80 grams fine rava (sooji or cream of wheat),kesari bhath ,cup
1,['½'],ghee,,kesari bhath ,tablespoon
2,['10 to 12'],cashews,(kaju),kesari bhath ,
3,['1.5'],water,,kesari bhath ,cups
4,['½'],raisins,(kishmish),kesari bhath ,tablespoon
5,['⅓'],sugar,OR 60 grams sugar OR you can add ½ cup of sugar for more sweeter version.,kesari bhath ,cup
6,['¼'],green cardamom powder,(choti elaichi powder),kesari bhath ,teaspoon
7,,a pinch of saffron strands,(kesar),kesari bhath ,
8,['1 to 2'],drops of natural orange food color extract,OR a pinch of turmeric powder (haldi),kesari bhath ,
9,['1.5 to 2.5'],ghee to be added later,,kesari bhath ,tablespoons
0,['1 '],sugar,or 200 grams sugar,besan barfi ,cup 
1,['6 '],green cardamoms ,or 1 teaspoon cardamom powder,besan barfi ,
2,['2 '],besan,or 200 to 210 grams besan,besan barfi ,cups
3,['½ '],desi ghee,or 125 grams desi ghee,besan barfi ,cup 
4,['1 '],cardamom powder ,"or 6 green cardamoms, powdered in mortar pestle",besan barfi ,teaspoon 
5,['5 '],almonds,- sliced or chopped,besan barfi ,
6,['5 '],cashews,- sliced or chopped,besan barfi ,
7,['1 '],magaz ,(melon seeds) - OPTIONAL,besan barfi ,tablespoons 
8,,some ghee for greasing pan,,besan barfi ,
0,['2'],medium sized alphonso mangoes,- yields approx 1.5 cups mango pulp,mango iced tea ,
1,['3'],black tea,or 2-3 black tea bags,mango iced tea ,teaspoons
2,['4'],water,,mango iced tea ,cups
3,['½ or ¾'],lemon juice or as required,,mango iced tea ,tablespoon
4,,organic unrefined cane sugar,or regular sugar as required,mango iced tea ,
5,,a few mint leaves for garnishing,,mango iced tea ,
0,['200 to 250'],baby corn,,baby corn jalfrezi ,grams
1,['1'],medium sized capsicum,(green bell pepper or shimla mirch),baby corn jalfrezi ,
2,['1'],medium sized onion,,baby corn jalfrezi ,
3,['2'],dry red chilies,(sookhi lal mirch) - you can use kashmiri chili or bedgi chili,baby corn jalfrezi ,
4,['2'],garlic + ½ inch ginger,- crushed or made in a paste,baby corn jalfrezi ,
5,['½'],red chili powder,(lal mirch powder),baby corn jalfrezi ,teaspoon
6,['1'],coriander powder,(dhania powder),baby corn jalfrezi ,teaspoon
7,['1'],cumin powder,(jeera powder),baby corn jalfrezi ,teaspoon
8,['¼ or ½'],garam masala powder,,baby corn jalfrezi ,teaspoon
9,['1'],tomato puree,,baby corn jalfrezi ,cup
10,['½'],apple cider,or white vinegar,baby corn jalfrezi ,teaspoon
11,['2'],oil,,baby corn jalfrezi ,tablespoon
12,['1 or 1.5'],regular sugar,or organic unrefined cane sugar or as required,baby corn jalfrezi ,teaspoon
13,,salt as required,,baby corn jalfrezi ,
14,,some coriander leaves for garnishing,,baby corn jalfrezi ,
15,['¼ or ½'],water ,,baby corn jalfrezi ,cup
0,['200 or 250'],colocasia,(arbi or taro roots),dahi wali arbi ,grams
1,['½'],"yogurt, beaten",(curd or dahi),dahi wali arbi ,cup
2,['1'],"medium size onion,",chopped finely,dahi wali arbi ,
3,['3'],"medium size tomatoes,",chopped finely,dahi wali arbi ,
4,['1'],ginger garlic paste,,dahi wali arbi ,teaspoon
5,['½'],turmeric,(haldi),dahi wali arbi ,teaspoon
6,['½ to ⅔'],carom seeds,(ajwain),dahi wali arbi ,teaspoon
7,['½'],red chili powder,(lal mirch powder),dahi wali arbi ,teaspoon
8,['¼'],garam masala powder,,dahi wali arbi ,teaspoon
9,['2 or 2.5'],water,,dahi wali arbi ,cups
10,['2'],oil,,dahi wali arbi ,tablespoon
11,,rock salt,or black salt or regular salt,dahi wali arbi ,
0,['1'],basmati rice,or 190 grams basmati rice,ghee rice ,cup
1,['3'],ghee,(clarified butter),ghee rice ,tablespoons
2,['15 to 18'],cashews,(kaju),ghee rice ,
3,['1'],raisins,(kishmish),ghee rice ,tablespoon
4,['50'],"onion,","thinly sliced or ⅓ cup thinly sliced onions or 1 medium onion, thinly sliced",ghee rice ,grams
5,['1.75 to 2'],"water,",add water as required,ghee rice ,cups
6,['⅓'],rock salt,or add as required,ghee rice ,teaspoon
7,['1 to 2'],chopped coriander leaves,(dhania patta) for garnish,ghee rice ,tablespoons
8,['1.5'],cinnamon,(dalchini),ghee rice ,inches
9,['3'],green cardamoms,(choti elaichi),ghee rice ,
10,['3'],cloves,(lavang),ghee rice ,
11,['2'],single strands of mace,(javitri),ghee rice ,
12,['4 to 5'],whole black pepper,(sabut kali mirch),ghee rice ,
13,['1'],tej patta,(indian bay leaf),ghee rice ,
0,['3'],medium sizes potatoes,"or 250 grams potatoes, peeled and chopped",pav bhaji ,
1,['1 to 1.25'],chopped cauliflower,or 120 to 130 grams cauliflower,pav bhaji ,cups
2,['1'],chopped carrot,,pav bhaji ,cup
3,['1'],"green peas,",fresh or frozen,pav bhaji ,cup
4,['⅓'],"chopped french beans,","or 12 to 14 french beans, chopped -  OPTIONAL",pav bhaji ,cup
5,['2.25 to 2.5'],water,for pressure cooking,pav bhaji ,cups 
6,['3'],"amul butter,","butter is also added later while serving, you can add upto 5 to 6 tablespoons of butter too for a richer version",pav bhaji ,tablespoons
7,['1'],cumin seeds,(jeera),pav bhaji ,teaspoon
8,['1'],"large onion,",finely chopped or ½ cup finely chopped onion,pav bhaji ,
9,['2'],ginger-garlic paste,or 1.5 inch ginger and 5 to 6 medium garlic cloves crushed in a mortar-pestle. ,pav bhaji ,teaspoons
10,['1 or 2'],"green chilies,",chopped,pav bhaji ,
11,['½'],cup finely chopped capsicum ,"or 1 medium sized capsicum (green bell pepper), finely chopped",pav bhaji ,
12,['2'],"tightly packed finely chopped tomatoes,","or about 2 to 3 large tomatoes, finely chopped ",pav bhaji ,cups
13,['1'],turmeric powder,(haldi powder),pav bhaji ,teaspoon
14,['1'],kashmiri chilli powder,or freshly ground 1 to 2 soaked dry kashmiri red chilies - the latter works much better and imparts a beautiful orange color to the bhaji,pav bhaji ,teaspoon
15,['2 to 3'],"pav bhaji masala, ",add as required,pav bhaji ,tablespoons
16,['1.5 to 2'],water or the stock in which the veggies were cooked,or add as required,pav bhaji ,cups
17,,salt,as required,pav bhaji ,
18,['12'],pavs for serving with the bhaji,,pav bhaji ,
19,['1'],"medium to large onion,",finely chopped,pav bhaji ,
20,['1'],"lemon or lime,",chopped in wedges,pav bhaji ,
21,['3 to 4'],"chopped coriander leaves,",for garnish,pav bhaji ,tablespoons
0,['3.5'],of water,- chilled or at room temperature,rooh afza ,cups
1,,rooh afza syrup,as required,rooh afza ,
2,['½'],sabja seeds,(basil seeds),rooh afza ,tablespoon
3,,sugar,as per your taste - (optional),rooh afza ,
4,,ice cubes,(optional),rooh afza ,
0,['1.5'],basmati rice,"or any regular rice, 300 grams",spicy vegetable pulao ,cups
1,,enough water ,for soaking rice,spicy vegetable pulao ,
2,['2 to 3'],ghee,or oil,spicy vegetable pulao ,tablespoon
3,['½'],thinly sliced onions,"or 1 medium to large onion, finely sliced",spicy vegetable pulao ,cup
4,['⅓'],chopped tomato,or 1 medium sized chopped tomatoes,spicy vegetable pulao ,cup
5,['2'],coriander leaves,"(dhania patta), chopped",spicy vegetable pulao ,tablespoon
6,['1'],mint leaves,"(pudina patta), chopped",spicy vegetable pulao ,tablespoon
7,['2'],ginger+garlic paste,"or ½ inch ginger and 4 to 5 garlic, crushed in mortar-pestle",spicy vegetable pulao ,teaspoon
8,['2 to 3'],green chilies,"(hari mirch), chopped",spicy vegetable pulao ,
9,['¼'],turmeric powder,(haldi),spicy vegetable pulao ,teaspoon
10,['½'],red chili powder,(lal mirch powder),spicy vegetable pulao ,teaspoon
11,['1'],coriander powder,(dhania powder),spicy vegetable pulao ,teaspoon
12,['1'],asafoetida,(hing) - optional,spicy vegetable pulao ,pinch
13,['3'],chopped mixed veggies,"(i used a mix of cauliflower, french beans, potatoes and carrots)",spicy vegetable pulao ,cups
14,['¼ to ⅓'],green peas,"(matar), fresh or frozen",spicy vegetable pulao ,cup
15,['2.5'],water,,spicy vegetable pulao ,cups
16,,salt as required,,spicy vegetable pulao ,
17,['2'],small tejpatta,(indian bay leaf) or 1 medium to large tej patta,spicy vegetable pulao ,
18,['2 to 3'],cloves,(lavang),spicy vegetable pulao ,
19,['4 to 5'],black pepper,(sabut kali mirch),spicy vegetable pulao ,
20,['1'],small of stone flower,(pathar ke phool or kalpasi or dagad phool) - optional,spicy vegetable pulao ,piece
21,['½'],cinnamon,(dalchini),spicy vegetable pulao ,inch
22,['2'],green cardamoms,(hari elaichi),spicy vegetable pulao ,
23,['1'],black cardamom,(badi elaichi),spicy vegetable pulao ,
24,['1 or 2'],single strands of mace,(javitri),spicy vegetable pulao ,
25,['1'],star anise,(chakri phool),spicy vegetable pulao ,
26,['1'],fennel seeds,(saunf),spicy vegetable pulao ,teaspoon
27,['½'],cumin seeds,(jeera),spicy vegetable pulao ,teaspoon
0,['½'],fine rava,(sooji or cream of wheat),fruit kesari ,cup
1,['1'],ghee,for roasting sooji,fruit kesari ,teaspoon
2,['4 to 5'],ghee,"Or 2 tablespoon ghee + 2 tablespoon oil Or 4 tablespoon oil, use a neutral flavored oil",fruit kesari ,tablespoon
3,['12 to 15'],cashews,(kaju),fruit kesari ,
4,['1'],raisins,(kishmish),fruit kesari ,tablespoon
5,['½'],chopped apple,or 1 small apple - chopped,fruit kesari ,cup
6,['½'],chopped pear,or 1 small pear - chopped,fruit kesari ,cup
7,['½'],chopped pineapple,,fruit kesari ,cup
8,['⅓'],chopped banana,,fruit kesari ,cup
9,['¼'],pomegranate arils,,fruit kesari ,cup
10,['½'],cardamom powder,(choti elaichi powder) Or 3 to 4 green cardamoms - crushed to a powder in mortar-pestle,fruit kesari ,teaspoon
11,['1'],saffron strands,(kesar),fruit kesari ,pinch
12,['6'],sugar,or about ⅓ cup sugar,fruit kesari ,tablespoon
13,['1.5'],water,,fruit kesari ,cups
0,['½'],rice,OR 100 grams rice,sweet pongal ,cup
1,['¼'],moong dal,OR 45 grams moong dal,sweet pongal ,cup
2,['¼'],ghee,- OPTIONAL,sweet pongal ,teaspoon
3,['2.5'],water,,sweet pongal ,cups
4,['70'],rock sugar,or candy sugar OR ⅓ cup rock or candy sugar OR ⅓ to ½ cup regular sugar,sweet pongal ,grams
5,['½'],milk,- OPTIONAL,sweet pongal ,cup
6,['1'],of edible camphor,- OPTIONAL,sweet pongal ,pinch
7,['4'],green cardamoms,- crushed to a fine powder,sweet pongal ,
8,['1'],clove,"- crushed to a fine powder, OPTIONAL",sweet pongal ,
9,['3 to 4'],ghee,,sweet pongal ,tablespoons
10,['12 to 15'],cashews,(kaju),sweet pongal ,
11,['1'],raisins,- OPTIONAL,sweet pongal ,tablespoon
0,['¼'],tuvar dal,(arhar dal or pigeon pea lentils),pineapple rasam ,cup
1,['¾ to 1'],water,for pressure cooking dal,pineapple rasam ,cup
2,['1/8'],turmeric powder,(haldi),pineapple rasam ,teaspoon
3,['1'],chopped pineapple,or 140 grams pineapple,pineapple rasam ,cup
4,['1'],medium tomato,or 75 grams tomato,pineapple rasam ,
5,['1.5'],water,,pineapple rasam ,cups
6,['1 to 2'],rasam powder,(optional),pineapple rasam ,teaspoon
7,,salt as required,,pineapple rasam ,
8,['2'],cumin seeds,(jeera),pineapple rasam ,teaspoon
9,['1'],black pepper,(sabut kali mirch),pineapple rasam ,teaspoon
10,['5 to 6'],medium sized garlic cloves,(lahsun),pineapple rasam ,
11,['1.5'],oil,,pineapple rasam ,tablespoon
12,['½'],mustard seeds,(rai),pineapple rasam ,teaspoon
13,['2 to 3'],dry red chilies,(sookhi lal mirch),pineapple rasam ,
14,['6 to 7'],curry leaves,(kadi patta) or 1 sprig curry leaf,pineapple rasam ,
15,['1'],asafoetida,(hing),pineapple rasam ,pinch
0,['200'],brinjals,(baingan or aubergines),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",grams
1,['1'],"small onion,",quartered or sliced,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",
2,['1'],"medium sized tomato,",quartered,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",
3,['1'],pigeon pea lentils,(tuvar dal or arhar dal),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",cup
4,['1'],seedless tamarind + ½ cup water,,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",tablespoon
5,['1'],asafoetida,(hing),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",pinch
6,['½'],red chili powder,(lal mirch powder),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",teaspoon
7,['½'],turmeric powder,(haldi),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",teaspoon
8,['2.5 to 3'],sambar powder,,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",teaspoon
9,['2 or 2.5'],water,,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",cups
10,,salt as required,,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",
11,['12 to 15'],curry leaves,(kadi patta),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",
12,['3 to 4'],dry red chilies,(sookhi lal mirch),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",
13,['¾'],black mustard seeds,(rai),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",teaspoon
14,['¾'],spilt and skinned black gram,(urad dal),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",teaspoon
15,['1'],asafoetida,or 1/8 teaspoon asafoetida powder (hing),"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",pinch
16,['2'],groundnut oil,or coconut oil or vegetable oil,"kathirikai sambar or brinjal sambar, how to make kathirikai sambar ",tablespoon
0,['1 '],ghee,,sabudana payasam ,tablespoon 
1,['10 to 12 '],cashews,(kaju),sabudana payasam ,
2,['1 '],raisins,(kishmish),sabudana payasam ,tablespoons 
3,['½ '],sabudana,(tapioca pearls),sabudana payasam ,cup 
4,['3'],water,,sabudana payasam , cups
5,['2 '],full fat milk,,sabudana payasam ,cups 
6,['½ '],sugar,or add as required,sabudana payasam ,cup 
7,['½ '],cardamom powder,(elaichi powder),sabudana payasam ,teaspoon 
8,['1 '],saffron ,(kesar) - optional,sabudana payasam ,pinch
9,['1 '],edible camphor ,- optional,sabudana payasam ,pinch 
0,['4'],medium potatoes (aloo),Or 300 grams potatoes Or 10.5 oz potatoes,aloo rasedar ,
1,['1'],large tomato,- about ¾ cup finely chopped tomatoes,aloo rasedar ,
2,['1'],"ginger,",finely chopped Or 1.5 teaspoon finely chopped ginger (adrak),aloo rasedar ,inch
3,['¼'],fenugreek seeds,(methi seeds),aloo rasedar ,teaspoon
4,['¼'],turmeric powder,(haldi),aloo rasedar ,teaspoon
5,['½'],red chili powder,(lal mirch powder),aloo rasedar ,teaspoon
6,['1'],cumin powder,(jeera powder),aloo rasedar ,teaspoon
7,['1'],fennel powder,(saunf) - if you don't have ground fennel then lightly roast 1 teaspoon fennel seeds in a small pan till fragrant and then coarsely powder in a mortar-pestle),aloo rasedar ,teaspoon
8,['1'],coriander powder,(dhania powder),aloo rasedar ,teaspoon
9,['1'],amchur powder,(dry mango powder),aloo rasedar ,teaspoon
10,['½'],garam masala powder,,aloo rasedar ,teaspoon
11,['⅛'],asafoetida,(hing),aloo rasedar ,teaspoon
12,['1 to 1.5'],water or add as required,,aloo rasedar ,cups
13,['1'],oil or ghee,,aloo rasedar ,tablespoon
14,,salt as required,,aloo rasedar ,
0,['1'],big bunch of fresh dill leaves,(suva or shepu),Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,
1,['3'],medium size potatoes,(aloo),Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,
2,['5-6'],garlic,"(lahsun), chopped",Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,
3,['½'],turmeric powder,(haldi),Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,teaspoon
4,['¼'],cayenne pepper,or red chili powder,Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,teaspoon
5,['2'],oil,,Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,tablespoon
6,,salt,as required,Dill Leaves with Potatoes | Aloo Suva Recipe | Aloo Shepu Sabzi Recipe,
0,['½'],coriander seeds,(sabut dhania),bisi bele bath masala ,cup
1,['¼'],chana dal,(husked and split bengal gram),bisi bele bath masala ,cup
2,['1'],urad dal,(husked and split black gram),bisi bele bath masala ,tablespoon
3,['10 to 12'],byadagi or bedgi red chilies,- less hot dry red chilies,bisi bele bath masala ,
4,['5 to 7'],guntur red chilies,- hot dry red chilies,bisi bele bath masala ,
5,['1'],cumin seeds,(jeera),bisi bele bath masala ,teaspoon
6,['½'],whole black pepper,(sabut kalimirch),bisi bele bath masala ,teaspoon
7,['3'],green cardamom,(choti elaichi),bisi bele bath masala ,
8,['1.5'],cinnamon,(dalchini),bisi bele bath masala ,inch
9,['3 to 4'],cloves,(lavang),bisi bele bath masala ,
10,['4'],marathi moggu,(kapok buds),bisi bele bath masala ,
11,['4'],unsweetened desiccated coconut,(sukha nariyal ka boora),bisi bele bath masala ,tablespoon
12,['2'],poppy seeds,(khus khus),bisi bele bath masala ,teaspoon
13,['½'],of a whole mace,OR 1 small mace (javitri),bisi bele bath masala ,
14,['½'],fenugreek seeds,(methi dana),bisi bele bath masala ,teaspoon
15,['12 to 14'],curry leaves,(kadi patta),bisi bele bath masala ,
16,['1'],asafoetida,(hing) - optional,bisi bele bath masala ,teaspoon
0,['100'],potatoes,or 3 small or 2 medium or 1 large potato,cheese balls ,grams
1,['60'],cheese,or ½ cup grated cheese tightly packed,cheese balls ,grams
2,['¼'],black pepper crushed,or ⅓ teaspoon black pepper powder - add as required,cheese balls ,teaspoon
3,['1'],garam masala,- optional,cheese balls ,pinch
4,['1.5'],chopped coriander leaves,or parsley leaves,cheese balls ,tablespoon
5,['3.5 to 4'],besan,(gram flour) or 2 to 3 tablespoon arrow root flour or corn starch or all purpose flour (maida),cheese balls ,tablespoon
6,['2 to 3'],black salt,or regular salt or rock salt,cheese balls ,pinches
7,,oil,for frying,cheese balls ,
0,['1'],full fat whole milk,,strawberry ice cream ,cup
1,['¾'],cream,- 25% to 35% low fat dairy cream. i used amul cream.,strawberry ice cream ,cup
2,['1'],chopped fresh strawberries,,strawberry ice cream ,cup
3,['8'],organic unrefined cane sugar,or regular sugar. (adjust depending on the sweetness of the strawberries) *check notes,strawberry ice cream ,tablespoon
0,['350'],carrot,OR 3 delhi carrots (gajar),carrot ginger soup ,grams
1,['8'],ginger,OR 1 tablespoon chopped ginger (adrak),carrot ginger soup ,grams
2,['60'],onion,OR ⅓ cup chopped onions,carrot ginger soup ,grams
3,['2'],water,or add as required,carrot ginger soup ,cups
4,,salt as required,,carrot ginger soup ,
5,['¼'],black pepper powder,(kali mirch powder) or add as required,carrot ginger soup ,teaspoon
6,['1'],olive oil,- you can also use butter,carrot ginger soup ,tablespoon
7,,"some fresh herb like parsley, coriander, mint, dill leaves or thyme for garnish",,carrot ginger soup ,
0,['2'],whole wheat flour,(atta),paratha ,cups
1,['1 to 2'],oil,or ghee,paratha ,teaspoon
2,['½'],salt,or add as required,paratha ,teaspoon
3,,water as required for kneading the dough,,paratha ,
4,,"oil or ghee for roasting,",add as required,paratha ,
0,['1.5'],mint leaves,(pudina),mint juice or pudina sherbet ,cups
1,['9-10'],powdered jaggery,or sugar,mint juice or pudina sherbet ,tablespoon
2,['½'],water,,mint juice or pudina sherbet ,cup
3,['½'],black salt,,mint juice or pudina sherbet ,teaspoon
4,['1'],cumin powder,(jeera powder),mint juice or pudina sherbet ,teaspoon
5,['3-4'],lemon juice,,mint juice or pudina sherbet ,teaspoon
0,['2'],chopped spinach,(palak) or 150 grams spinach - finely chopped,spinach mushroom lasagna ,cups
1,['200'],"white button mushroom,",chopped or sliced - about 2 cups chopped or sliced mushrooms,spinach mushroom lasagna ,grams
2,['1'],"small onion,",finely chopped,spinach mushroom lasagna ,
3,['2 to 3'],garlic cloves,(lahsun) - finely chopped or minced,spinach mushroom lasagna ,
4,['½'],dry oregano,,spinach mushroom lasagna ,teaspoon
5,['4 to 5'],"fresh basil leaves,",chopped or 1 teaspoon dry basil,spinach mushroom lasagna ,
6,['1'],nutmeg powder,or grated nutmeg (jaiphal powder),spinach mushroom lasagna ,pinch
7,['6 to 7'],"low fat cream,",25% to 35% fat,spinach mushroom lasagna ,tablespoon
8,['½ to ⅔'],grated cheddar cheese,or processed cheese or mozzarella or parmesan,spinach mushroom lasagna ,cup
9,['6 to 8'],tomato sauce,(thick tomato puree or tomato ketchup),spinach mushroom lasagna ,tablespoon
10,['7'],lasagna sheets,,spinach mushroom lasagna ,
11,['1'],olive oil + 1 tablespoon butter,,spinach mushroom lasagna ,tablespoon
12,,salt as required,,spinach mushroom lasagna ,
13,,freshly crushed black pepper as required,(kali mirch powder),spinach mushroom lasagna ,
0,['2'],fine sooji or rava or semolina,(fine variety of sooji),rava dhokla ,cup
1,['½'],ginger + 1 green chili,- crushed and made into a paste in a mortar-pestle,rava dhokla ,inch
2,['1'],water,or add as required,rava dhokla ,cup
3,['1'],oil,,rava dhokla ,teaspoon
4,['½'],sugar,or add as per taste,rava dhokla ,teaspoon
5,['1'],turmeric powder,(haldi),rava dhokla ,pinch
6,['1 to 1.25'],lemon juice,- from 1 medium sized lemon,rava dhokla ,tablespoons
7,['1'],eno (fruit salt) or baking soda,,rava dhokla ,teaspoon
8,,salt,as required,rava dhokla ,
9,['½'],mustard seeds,(rai or sarson),rava dhokla ,teaspoon
10,['½'],cumin seeds,(jeera),rava dhokla ,teaspoon
11,['1'],sesame seeds,(safed til),rava dhokla ,teaspoon
12,['8 to 10'],curry leaves,(kadi patta),rava dhokla ,
13,['1'],pinch of asafoetida,(hing),rava dhokla ,
14,['2 to 3'],water,,rava dhokla ,tablespoons
15,['½'],oil,,rava dhokla ,tablespoon
16,['2'],chopped coriander leaves,(dhania patta),rava dhokla ,tablespoons
17,['1 to 2'],"fresh grated coconut,",optional,rava dhokla ,tablespoons
0,['1'],cooked white chickpeas,(kabuli chana or chole),falafel ,cup
1,['1'],"small to medium onion,",finely chopped (pyaaz),falafel ,
2,['2-3'],"garlic,",crushed or finely chopped or minced (lahsun),falafel ,
3,['1'],coriander powder,(dhania powder),falafel ,teaspoon
4,['½'],red chili powder,(lal mirch powder) - optional,falafel ,teaspoon
5,['1'],cumin powder,(jeera powder),falafel ,teaspoon
6,['½'],crushed black pepper,or pepper powder,falafel ,teaspoon
7,['2 to 3'],all purpose flour,(maida) or bread crumbs or whole wheat flour (atta),falafel ,tablespoon
8,['3'],"fresh parsley,",finely chopped or minced (or coriander leaves),falafel ,tablespoon
9,['½ to 1'],lemon juice,(optional),falafel ,tablespoon
10,,salt as required,,falafel ,
11,,oil for deep frying,,falafel ,
0,['⅓'],grated carrots,(gajar),veg mayonnaise sandwich ,cup
1,['¼'],finely chopped capsicum,(bell pepper or shimla mirch),veg mayonnaise sandwich ,cup
2,['1'],medium potato,- boiled and chopped,veg mayonnaise sandwich ,
3,['⅓'],mayonnaise,or add as required,veg mayonnaise sandwich ,cup
4,['¼'],black pepper powder,or add as required,veg mayonnaise sandwich ,teaspoon
5,['¼'],mustard powder,,veg mayonnaise sandwich ,teaspoon
6,['¼'],sugar,- OPTIONAL,veg mayonnaise sandwich ,teaspoon
7,['8 to 10'],bread slices,"- whole wheat, brown, white or multigrain bread",veg mayonnaise sandwich ,
8,,butter,as required,veg mayonnaise sandwich ,
0,['10 to 12'],bread slices,,potato sandwich ,
